ChemicalName,KEGG_ID,Disease,shared_pathways,jaccard,link_type
Salicylic Acid,C00805,"Pulmonary Disease, Chronic Obstructive",2,0.0392,novel_candidate
Sirolimus,C07909,"Pulmonary Disease, Chronic Obstructive",2,0.0417,novel_candidate
Sulfur Dioxide,C09306,"Pulmonary Disease, Chronic Obstructive",2,0.0435,known
Vinblastine,C07201,"Pulmonary Disease, Chronic Obstructive",2,0.0435,novel_candidate
naringin,C09789,"Pulmonary Disease, Chronic Obstructive",2,0.0435,novel_candidate
"1,7-dimethylxanthine",C13747,"Pulmonary Disease, Chronic Obstructive",1,0.0217,known
"4,4'-diphenylmethane diisocyanate",C00004,"Pulmonary Disease, Chronic Obstructive",1,0.0204,novel_candidate
Acetaminophen,C06804,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Aspirin,C01405,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Cadmium,C01413,"Pulmonary Disease, Chronic Obstructive",1,0.0217,known
Caffeine,C07481,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Capsaicin,C06866,"Pulmonary Disease, Chronic Obstructive",1,0.0213,novel_candidate
Creatinine,C00791,"Pulmonary Disease, Chronic Obstructive",1,0.0217,known
Docetaxel,C11231,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Etoposide,C01576,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Ifosfamide,C07047,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Iron,C00023,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Isoproterenol,C07056,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Leukotriene D4,C05951,"Pulmonary Disease, Chronic Obstructive",1,0.0204,novel_candidate
Manganese,C00034,"Pulmonary Disease, Chronic Obstructive",1,0.0204,novel_candidate
Mustard Gas,C19164,"Pulmonary Disease, Chronic Obstructive",1,0.0217,known
Niacin,C00153,"Pulmonary Disease, Chronic Obstructive",1,0.0208,novel_candidate
Paclitaxel,C07394,"Pulmonary Disease, Chronic Obstructive",1,0.0213,novel_candidate
Penicillin G,C05551,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Phenobarbital,C07434,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Platelet Activating Factor,C04598,"Pulmonary Disease, Chronic Obstructive",1,0.0208,novel_candidate
Taurine,C00245,"Pulmonary Disease, Chronic Obstructive",1,0.02,novel_candidate
"theophylline, salbutamol drug combination",C07130,"Pulmonary Disease, Chronic Obstructive",1,0.0217,known
Tretinoin,C00777,"Pulmonary Disease, Chronic Obstructive",1,0.0192,novel_candidate
Vancomycin,C06689,"Pulmonary Disease, Chronic Obstructive",1,0.0208,novel_candidate
Vincristine,C07204,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
Zinc Sulfate,C00038,"Pulmonary Disease, Chronic Obstructive",1,0.0204,novel_candidate
arsenite,C06697,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
ceric oxide,C00258,"Pulmonary Disease, Chronic Obstructive",1,0.02,novel_candidate
cobalt oxide,C19171,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
epigallocatechin gallate,C09731,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
fexofenadine,C06999,"Pulmonary Disease, Chronic Obstructive",1,0.0217,novel_candidate
geraniol,C01500,"Pulmonary Disease, Chronic Obstructive",1,0.0208,novel_candidate
