DiseaseName,# ChemicalName,ChemicalID,CasRN,DirectEvidence,PubMedIDs
" Pulmonary Disease, Chronic Obstructive",Formoterol Fumarate,D000068759,,therapeutic,10516540|18035867|19011503
" Pulmonary Disease, Chronic Obstructive",Glucocorticoids,D005938,,therapeutic,11730731
" Pulmonary Disease, Chronic Obstructive",Glycopyrrolate,D006024,596-51-0,therapeutic,21870878|26026369
" Pulmonary Disease, Chronic Obstructive",Hyaluronic Acid,D006820,9004-61-9,marker/mechanism,25106431
" Pulmonary Disease, Chronic Obstructive",Ipratropium,D009241,60205-81-4,therapeutic,1835291|1835292|19363211|21870878|24431217
" Pulmonary Disease, Chronic Obstructive",Ketanserin,D007650,74050-98-9,therapeutic,22048642
" Pulmonary Disease, Chronic Obstructive",Lipid Peroxides,D008054,,marker/mechanism,10921764
" Pulmonary Disease, Chronic Obstructive",Lipopolysaccharides,D008070,,marker/mechanism,23099361|28951138|29984229
" Pulmonary Disease, Chronic Obstructive","Metals, Heavy",D019216,,marker/mechanism,12842775
" Pulmonary Disease, Chronic Obstructive",Methotrexate,D008727,59-05-2,therapeutic,1450620
" Pulmonary Disease, Chronic Obstructive",Mustard Gas,D009151,505-60-2,marker/mechanism,29569912
" Pulmonary Disease, Chronic Obstructive","N-(1-(3-chloro-4-hydroxyphenyl)-3-(1,1-dimethylethyl)-1H-pyrazol-5-yl)-N'-((2-((3-(2-((2-hydroxyethyl)thio)phenyl)-1,2,4-triazolo(4,3-a)pyridin-6-yl)thio)phenyl)methyl)-urea",C569762,,therapeutic,21888439
" Pulmonary Disease, Chronic Obstructive",Nifedipine,D009543,21829-25-4,therapeutic,3671896
" Pulmonary Disease, Chronic Obstructive",Nitrogen Dioxide,D009585,10102-44-0,marker/mechanism,32000783
" Pulmonary Disease, Chronic Obstructive",Norepinephrine,D009638,51-41-2,marker/mechanism,18068611
" Pulmonary Disease, Chronic Obstructive",Ozone,D010126,10028-15-6,marker/mechanism,26647366|32000783|36376488
" Pulmonary Disease, Chronic Obstructive",Particulate Matter,D052638,,marker/mechanism,12842775|25387747|25491235|32000783|34331613
" Pulmonary Disease, Chronic Obstructive",PH 797804,C542398,,therapeutic,21888439
" Pulmonary Disease, Chronic Obstructive",Phosphodiesterase 4 Inhibitors,D058988,,therapeutic,17569694
" Pulmonary Disease, Chronic Obstructive",Prednisone,D011241,53-03-2,therapeutic,14643832|2767912
" Pulmonary Disease, Chronic Obstructive",proxyphylline,C003237,603-00-9,therapeutic,7408664
" Pulmonary Disease, Chronic Obstructive",Quercetin,D011794,117-39-5,therapeutic,23099361
" Pulmonary Disease, Chronic Obstructive",Resveratrol,D000077185,,therapeutic,23981542
" Pulmonary Disease, Chronic Obstructive",revefenacin,C583570,,therapeutic,30803279|31150963|31245215|32106777|33821890
" Pulmonary Disease, Chronic Obstructive",Ribomunyl,C034206,,therapeutic,17078222
" Pulmonary Disease, Chronic Obstructive",Roflumilast,C424423,,therapeutic,16317827|23871879
" Pulmonary Disease, Chronic Obstructive",Salmeterol Xinafoate,D000068299,,therapeutic,10027655|10516540|18035867
" Pulmonary Disease, Chronic Obstructive",Simvastatin,D019821,79902-63-9,therapeutic,21211366
" Pulmonary Disease, Chronic Obstructive",Smog,D012905,,marker/mechanism,12842775
" Pulmonary Disease, Chronic Obstructive",Smoke,D012906,,marker/mechanism,21211366|21705297|24603126|25491235
" Pulmonary Disease, Chronic Obstructive",Soot,D053260,,marker/mechanism,23271741
" Pulmonary Disease, Chronic Obstructive",Sulfur Dioxide,D013458,########,marker/mechanism,32000783
" Pulmonary Disease, Chronic Obstructive",Terbutaline,D013726,23031-25-6,therapeutic,234363
" Pulmonary Disease, Chronic Obstructive",Tetrachlorodibenzodioxin,D013749,1746-01-06,marker/mechanism,18192277
" Pulmonary Disease, Chronic Obstructive",Theophylline,D013806,58-55-9,therapeutic,1546832|16430859|17130682|1835291|18983928|20578267|20797314|2218006|2969553|6288396|6858124|8888546|9756159
" Pulmonary Disease, Chronic Obstructive",Timolol,D013999,26839-75-8,marker/mechanism,7402590
" Pulmonary Disease, Chronic Obstructive",Tiotropium Bromide,D000069447,,therapeutic,17342451|18035867|18992357|19281075|21870878|26026369
" Pulmonary Disease, Chronic Obstructive",Tobacco Smoke Pollution,D014028,,marker/mechanism,19637760|22048642|24076166|26100223|28951138|29789401|29984229|30639269|32812458|33033587|33345606
" Pulmonary Disease, Chronic Obstructive",trospium chloride,C003330,10405-02-04,therapeutic,21870878
" Pulmonary Disease, Chronic Obstructive",Verapamil,D014700,52-53-9,therapeutic,9825040
" Pulmonary Disease, Chronic Obstructive",zafirlukast,C062735,107753-78-6,therapeutic,12781059|12877822
Bronchitis,Air Pollutants,D000393,,marker/mechanism,16912084|26655675|28106813
Bronchitis,ambroxol-theophylline-7-acetate,C077110,,therapeutic,17455344
